chapter_id,file_name,question_number,page,image_rows_on_page,figure_or_video_markers_on_page,question_line
us-01,1. FAST.pdf,1,1,1,4,"1. Focused Assessment with Sonography in Trauma (FAST)"
us-01,1. FAST.pdf,1,1,1,4,"1. A 27-year-old male is brought in by emergency medical services (EMS) after sustaining multiple gunshot"
us-01,1. FAST.pdf,2,3,2,3,"2. A 33-year-old male is brought into the emergency department (ED) by EMS after a high speed roll-over"
us-01,1. FAST.pdf,8,5,2,2,"8. A 19-year-old female is involved in a high-speed motor vehicle collision. She was restrained. Airbags"
us-01,1. FAST.pdf,12,7,1,2,"12. A 31-year-old male presents after a low-speed motorcycle crash, where the patient skidded 15 feet after"
us-01,1. FAST.pdf,13,7,1,2,"13. Why is the perisplenic (LUQ) view more di cult to obtain than the hepatorenal (RUQ) view?"
us-01,1. FAST.pdf,14,7,1,2,"14. A patient presents to the ED with respiratory distress after being stabbed in the chest. A CT scan of the"
us-01,1. FAST.pdf,18,9,2,4,"18. A 38-year-old male with a history of asthma presents to the ED with 2 days of chest pain and shortness"
us-01,1. FAST.pdf,19,10,2,4,"19. A 32-year-old male is brought in by ambulance after a high-speed motor vehicle collision. He is awake"
us-01,1. FAST.pdf,20,11,2,2,"20. Where does uid tend to accumulate rst in the LUQ or perisplenic view?"
us-01,1. FAST.pdf,22,13,2,4,"22. Which of the following pathologies can be associated with a positive FAST showing intraabdominal"
us-01,1. FAST.pdf,23,13,2,4,"23. Paramedics bring a 23-year-old male to the ED after a head-on vehicle collision with another vehicle."
us-01,1. FAST.pdf,24,14,2,4,"24. A 54-year-old woman presents with abdominal pain after being involved in a side-impact vehicle"
us-01,1. FAST.pdf,26,16,2,4,"26. A 26-year-old male is brought in by paramedics with a stab wound to the left abdomen. His vital signs"
us-01,1. FAST.pdf,27,17,2,4,"27. A 30-year-old female presents with chest pain that started 2 days ago. She is usually healthy but has had"
us-01,1. FAST.pdf,28,18,2,4,"28. A morbidly obese 24-year-old female presents with abdominal pain and vaginal bleeding. She had an"
us-01,1. FAST.pdf,30,20,2,5,"30. A 49-year-old woman with a past medical history of metastatic small cell lung cancer on chemotherapy"
us-01,1. FAST.pdf,2,23,0,1,"2. Explanation"
us-01,1. FAST.pdf,3,23,0,1,"3. Explanation"
us-01,1. FAST.pdf,7,30,2,2,"7. Explanation"
us-01,1. FAST.pdf,8,31,1,2,"8. Explanation"
us-01,1. FAST.pdf,12,34,0,3,"12. Explanation"
us-01,1. FAST.pdf,13,34,0,3,"13. Explanation"
us-01,1. FAST.pdf,15,36,0,0,"15. Explanation"
us-01,1. FAST.pdf,19,39,1,2,"19. Explanation"
us-01,1. FAST.pdf,20,40,1,2,"20. Explanation"
us-01,1. FAST.pdf,24,44,1,2,"24. Explanation"
us-01,1. FAST.pdf,27,48,1,0,"27. Explanation"
us-01,1. FAST.pdf,28,52,0,1,"28. Explanation"
us-01,1. FAST.pdf,31,55,1,2,"31. Explanation"
us-02,2. Focused Echo.pdf,2,3,2,4,"2. A 48-year-old male with history of end-stage renal disease, coronary artery disease, and cardiomyopathy"
us-02,2. Focused Echo.pdf,4,5,1,3,"4. To help determine the etiology of an acutely dyspneic patient, you obtain a parasternal long axis view on"
